tweet,timestamp,user_account,label_india,label_cti
"?? DDoS Alert ??
SERVER KILLERS claims to have targeted the website of Bank of India.
NB: site is up and active
#India
#ddos #cyberattack #cti #threatintel https://t.co/EWZwoBUI65",Sat Aug 24 19:00:10 +0000 2024,FalconFeeds.io,1,0
"?? Alert : Moroccan Dragons claims to target India ?? A recent post by the group indicates that they are targeting India.
#India
#cyberattack #infosec #threatintel https://t.co/E68ETpNCP9",Thu Aug 22 18:25:52 +0000 2024,FalconFeeds.io,1,0
"??Alert ??
Systemadminbd Official claims to have defaced the website of Zee Media Corporation Limited.
#India
#Defacement #cyberattack #cti #threatintel https://t.co/SP4VS479CU",Wed Aug 21 17:38:26 +0000 2024,FalconFeeds.io,1,0
?? DDoS Alert ?? RipperSec claims to have targeted the website of Union Bank of India. NB: site is down at the moment #India #ddos #cyberattack #cti #threatintel https://t.co/kk1hHWOudx,Sun Aug 18 11:52:58 +0000 2024,FalconFeeds.io,0,0
"?? DDoS Alert ??
RipperSec claims to have targeted indian website.
- Tata Group
- Digital India
#India
#ddos #cyberattack #cti #threatintel https://t.co/07wR7aE4wM",Wed Aug 14 17:48:12 +0000 2024,FalconFeeds.io,0,0
"[https://t.co/otlIKKsosi]?? Our proactive hunter detected malicious domains immittaing #India postal services
gov-indiapost-in[.]top
indiapost-a[.]top
indiapost-al[.]top
indiapost-c[.]top
indiapost-go[.]top
indiapost-goa[.]icu
indiapost-gob[.]xyz
#threatintel
#dfir",Sat Aug 10 18:14:12 +0000 2024,Malwar3Ninja | Threatview.io ??,0,0
"FalconFeeds.io Threat actor USDoD claims to have breached data belonging to 300,000 university students of India. The data consist of multiple PII information including Name, Contact,Address etc. #Cyberattack #Threatintel #India https://t.co/MgITuHeglj",Sun May 05 04:16:16 +0000 2024,FalconFeeds.io,1,0
"Hackers Hit Indian Defense, Energy Sectors with Malware Posing as Air Force Invite
#India #usa #news #update #cybersecurity #malware #indianews https://t.co/5liOwuITVV",Fri Mar 29 05:03:58 +0000 2024,RiskHorizon,1,0
"??? ???? ?? ????? | Saif Bin Safwan ???? ???????? ?????? ????? ??? ????? ???? ?????? ????? ?? ?????? ??????!
8.81 ???????? ?? ???????? ?? ???????.
?? ????? ?? ????? ?????? ?????????? ????????.
#?????_?????????? #?????
#Hackers #malware #AirForceInvite
#India
https://t.co/bA0RgpsTX3",Sat Mar 30 21:12:38 +0000 2024,,1,0
"Cisco Talos discovered a new Vietnam-based threat actor stealing financial data from victims in multiple countries including India, China, and South Korea. @TalosSecurity @Cisco #cybersecurity #malware #india #china #korea https://t.co/EXT67sAPcl",Sun Apr 07 14:57:41 +0000 2024,?????????? ????????,0,0
"??#Ransomware??Allegedly, #DarkVault has named a new victim.
#DarkWebInformer #DarkWeb #Cybersecurity #Cyberattack #Cybercrime #Malware #Infosec #CTI
Country: #India????
Threat Actor: DarkVault
Company: IKF Home Finance
Industry: Credit Cards &amp; Transaction Processing
Revenue: https://t.co/3VFKyxKnb8",Sat May 04 15:11:48 +0000 2024,Dark Web Informer,1,0
"??77 Victims listed by #LockBit yesterday. Out of which, 9 are from????:-
HETERO
VIKRANT SPRINGS
DOUBLE HORSE
IIT MADRAS
TEGA INDUSTRIES
DEPENNING
LIVIA
VSTAR
VINATI ORGANICS
#indiacert #ransomware #infosec #hack #malware #security #cybersecurity #cyber #OSINT #darkweb #india https://t.co/iTuYhkMK4l",Fri May 10 05:26:07 +0000 2024,RAKESH KRISHNAN,1,0
"Hacker group Transparent Tribe?uses legitimate platforms?to launch cyberattacks against India's defence, aerospace, and government sectors.
#TransparentTribe #India #Cyberattack #APT36 #Malware
https://t.co/vDVupMttfG https://t.co/6chWnfdyGG",Tue May 28 13:02:04 +0000 2024,iZOOlogic,1,0
"RecordedFuture refers to a similar actor as TAG-100 . Could be that TAG-100 and UNC4936 are exactly the same intrusion set. I have both actors under the APT5 Umbrella as ""investigate these"" but it's curious they may be the same",Tue Aug 06 19:16:54 +0000 2024,Andre Gironda @TheDFIRReport,0,0
#Kimsuky #Lazarus #APT37 #Konni #APT We want to share a tool to analyze malware from an APT group associated with the DPRK https://t.co/doBwVy7Bud,Wed May 22 05:08:27 +0000 2024,hithere,1,0
"""??????2024????"" published by @RedDrip7. #Trend, #APT37, #Konni, #Kimsuky, #Lazarus, #DPRK, #CTI https://t.co/d90g8oXQDD",Mon Aug 19 12:30:12 +0000 2024,lazarusholic,0,0
https://t.co/yFJG0ep23D #cloudnews #???? ?????????????????????????????????????????????????????????????? ???????????????????????????????????????????????????????,Thu Jul 25 22:30:38 +0000 2024,?,1,0
